rank,county,population
1,Wake County,"1,150,204"
2,Mecklenburg County,"1,122,276"
3,Guilford County,"542,410"
4,Forsyth County,"385,523"
5,Cumberland County,"335,508"
6,Durham County,"326,126"
7,Buncombe County,"271,534"
8,Union County,"243,648"
9,Cabarrus County,"231,278"
10,Gaston County,"230,856"
11,New Hanover County,"229,018"
12,Johnston County,"226,504"
13,Onslow County,"206,160"
14,Iredell County,"191,968"
15,Alamance County,"173,877"
16,Pitt County,"172,169"
17,Davidson County,"170,637"
18,Catawba County,"161,723"
19,Orange County,"148,884"
20,Rowan County,"148,150"
21,Randolph County,"145,172"
22,Brunswick County,"144,215"
23,Harnett County,"135,966"
24,Wayne County,"116,835"
25,Henderson County,"116,829"
26,Robeson County,"116,328"
27,Moore County,"102,763"
28,Craven County,"100,674"
29,Cleveland County,"100,359"
30,Nash County,"95,176"
31,Rockingham County,"91,266"
32,Lincoln County,"89,670"
33,Burke County,"87,611"
34,Caldwell County,"80,463"
35,Wilson County,"78,369"
36,Chatham County,"77,889"
37,Franklin County,"71,703"
38,Surry County,"71,152"
39,Carteret County,"68,541"
40,Wilkes County,"65,806"
41,Rutherford County,"64,586"
42,Lee County,"64,138"
43,Stanly County,"63,425"
44,Pender County,"62,815"
45,Haywood County,"62,476"
46,Granville County,"61,986"
47,Sampson County,"58,990"
48,Lenoir County,"54,706"
49,Watauga County,"54,234"
50,Hoke County,"53,114"
51,Columbus County,"50,092"
52,Duplin County,"48,515"
53,Edgecombe County,"48,359"
54,Halifax County,"48,272"
55,McDowell County,"44,717"
56,Stokes County,"44,553"
57,Beaufort County,"44,468"
58,Davie County,"43,533"
59,Jackson County,"43,410"
60,Richmond County,"42,724"
61,Vance County,"42,185"
62,Pasquotank County,"40,821"
63,Person County,"39,127"
64,Dare County,"37,826"
65,Macon County,"37,564"
66,Yadkin County,"37,192"
67,Alexander County,"36,644"
68,Scotland County,"34,227"
69,Transylvania County,"33,165"
70,Currituck County,"29,653"
71,Bladen County,"29,525"
72,Cherokee County,"29,167"
73,Ashe County,"26,711"
74,Montgomery County,"25,798"
75,Caswell County,"22,714"
76,Anson County,"22,060"
77,Martin County,"21,754"
78,Madison County,"21,502"
79,Hertford County,"21,278"
80,Greene County,"20,417"
81,Polk County,"19,656"
82,Warren County,"18,762"
83,Yancey County,"18,757"
84,Avery County,"17,864"
85,Bertie County,"17,505"
86,Northampton County,"17,129"
87,Mitchell County,"14,963"
88,Swain County,"14,136"
89,Chowan County,"13,722"
90,Perquimans County,"13,130"
91,Pamlico County,"12,344"
92,Clay County,"11,309"
93,Alleghany County,"11,049"
94,Washington County,"10,892"
95,Camden County,"10,835"
96,Gates County,"10,366"
97,Jones County,"9,255"
98,Graham County,"8,043"
99,Hyde County,"4,508"
100,Tyrrell County,"3,254"
